ID;Case Number;Date;Block;IUCR;Primary Type;Description;Location Description;Arrest;Domestic;FBI Code;Year;Updated On;Latitude;Longitude
10533769;HZ277428;05/24/2016 09:30:00 AM;054XX W WINDSOR AVE;0486;BATTERY;DOMESTIC BATTERY SIMPLE;APARTMENT;true;true;08B;2016;05/31/2016 03:53:32 PM;41.963324609;-87.763324045
10533774;HZ277385;05/24/2016 01:30:00 AM;033XX W FLOURNOY ST;2826;OTHER OFFENSE;HARASSMENT BY ELECTRONIC MEANS;RESIDENCE;false;true;26;2016;05/31/2016 03:53:32 PM;41.87274411;-87.709175599
10533775;HZ277361;05/24/2016 08:20:00 AM;033XX W HARRISON ST;0810;THEFT;OVER $500;STREET;false;false;06;2016;05/31/2016 03:53:32 PM;41.873637866;-87.710026087
10533780;HZ277206;05/24/2016 06:54:00 AM;038XX W WEST END AVE;141A;WEAPONS VIOLATION;UNLAWFUL USE HANDGUN;STREET;false;false;15;2016;05/31/2016 03:53:32 PM;41.882982981;-87.721943557
10533785;HZ277374;05/24/2016 12:01:00 AM;017XX N LATROBE AVE;0486;BATTERY;DOMESTIC BATTERY SIMPLE;RESIDENCE;false;true;08B;2016;05/31/2016 03:53:32 PM;41.912055527;-87.756976308
10533786;HZ277398;05/24/2016 07:00:00 AM;050XX W DIVISION ST;0820;THEFT;$500 AND UNDER;APARTMENT;false;false;06;2016;05/31/2016 03:53:32 PM;41.90228532;-87.752476145
10533792;HZ277446;05/24/2016 09:00:00 AM;044XX S WOOD ST;1153;DECEPTIVE PRACTICE;FINANCIAL IDENTITY THEFT OVER $ 300;APARTMENT;false;false;11;2016;05/31/2016 03:53:32 PM;41.813448522;-87.669958088
10533793;HZ277448;05/24/2016 09:40:00 AM;078XX S HALSTED ST;0460;BATTERY;SIMPLE;DEPARTMENT STORE;false;false;08B;2016;05/31/2016 03:53:32 PM;41.751522091;-87.644063286
10533801;HZ277425;05/24/2016 02:30:00 AM;028XX N SAWYER AVE;1320;CRIMINAL DAMAGE;TO VEHICLE;STREET;false;false;14;2016;05/31/2016 03:53:32 PM;41.93297738;-87.708673222
10533803;HZ277308;05/24/2016 08:40:00 AM;054XX W MADISON ST;0486;BATTERY;DOMESTIC BATTERY SIMPLE;RESIDENCE PORCH/HALLWAY;false;true;08B;2016;05/31/2016 03:53:32 PM;41.8802818;-87.76229271
10533809;HZ277250;05/24/2016 07:10:00 AM;041XX W CERMAK RD;0557;ASSAULT;AGG PRO.EMP:KNIFE/CUTTING INST;STREET;false;false;04A;2016;05/31/2016 03:53:32 PM;41.85148902;-87.728512702
10533810;HZ277369;05/24/2016 09:05:00 AM;084XX S BUFFALO AVE;0820;THEFT;$500 AND UNDER;OTHER;false;true;06;2016;05/31/2016 03:53:32 PM;41.742067735;-87.544212144
10533818;HZ277357;05/24/2016 09:00:00 AM;101XX S PERRY AVE;1365;CRIMINAL TRESPASS;TO RESIDENCE;RESIDENCE;true;false;26;2016;05/31/2016 03:53:32 PM;41.710173418;-87.625984422
10533819;HZ277417;05/24/2016 09:15:00 AM;063XX W 56TH ST;0484;BATTERY;PRO EMP HANDS NO/MIN INJURY;SCHOOL, PUBLIC, BUILDING;true;false;08B;2016;05/31/2016 03:53:32 PM;41.79054357;-87.780130326
10533840;HZ277205;05/24/2016 06:00:00 AM;061XX S WABASH AVE;0486;BATTERY;DOMESTIC BATTERY SIMPLE;CHA APARTMENT;false;true;08B;2016;05/31/2016 03:53:32 PM;41.782881146;-87.623774252
10533841;HZ277469;05/24/2016 08:40:00 AM;008XX E 46TH ST;1310;CRIMINAL DAMAGE;TO PROPERTY;APARTMENT;false;false;14;2016;05/31/2016 03:53:32 PM;41.811366368;-87.605720759
10533848;HZ277474;05/24/2016 01:30:00 AM;003XX N LARAMIE AVE;031A;ROBBERY;ARMED: HANDGUN;SIDEWALK;false;false;03;2016;05/31/2016 03:53:32 PM;41.886028822;-87.755274922
10533850;HZ277288;05/24/2016 08:15:00 AM;0000X S HALSTED ST;0860;THEFT;RETAIL THEFT;GROCERY FOOD STORE;true;false;06;2016;05/31/2016 03:53:32 PM;41.881203182;-87.647342333
10533854;HZ277283;05/24/2016 08:00:00 AM;023XX W VAN BUREN ST;0486;BATTERY;DOMESTIC BATTERY SIMPLE;RESIDENCE;false;true;08B;2016;05/31/2016 03:53:32 PM;41.876108306;-87.684860827
10533856;HZ277443;05/24/2016 06:15:00 AM;015XX W ADAMS ST;0820;THEFT;$500 AND UNDER;VEHICLE NON-COMMERCIAL;false;false;06;2016;05/31/2016 03:53:32 PM;41.878921239;-87.665245815
10533857;HZ277426;05/24/2016 09:50:00 AM;022XX N LOREL AVE;0810;THEFT;OVER $500;STREET;false;true;06;2016;05/31/2016 03:53:32 PM;41.921032029;-87.759739554
10533859;HZ277335;05/24/2016 09:07:00 AM;062XX W BELMONT AVE;0460;BATTERY;SIMPLE;STREET;false;false;08B;2016;05/31/2016 03:53:32 PM;41.938368518;-87.78240135
10533865;HZ277451;05/24/2016 12:00:00 AM;072XX S CAMPBELL AVE;0486;BATTERY;DOMESTIC BATTERY SIMPLE;APARTMENT;false;true;08B;2016;05/31/2016 03:53:32 PM;41.762359673;-87.685626219
