nb_objets,temps_arbo,temps_dyn,timeout
55,0.2563122089995886,0.2801236669984064,False
56,0.2595580000051996,0.26277470799686853,False
56,0.25506433300324716,0.25581445800344227,False
57,0.2552342920025694,0.25662858299619984,False
57,0.25572029199975077,0.2558171249984298,False
58,0.25630549999914365,0.2551336670003366,False
58,0.25662358299450716,0.25679041699913796,False
59,0.25222820800263435,0.2567645840026671,False
59,0.2540155419992516,0.25815679199877195,False
60,0.2556863339996198,0.25647762500011595,False
60,0.25467258299613604,0.25659962499776157,False
61,0.25861279100354295,0.26388100000622217,False
61,0.26723287499771686,0.25451533299928997,False
62,0.25926899999467423,0.2589436670023133,False
62,0.2586261670003296,0.25872045799769694,False
63,0.2537932919949526,0.25776416699955007,False
63,0.2544250419960008,0.25453416600066703,False
64,0.28022312500252156,0.2762501670003985,False
64,0.2565174580013263,0.2573829159955494,False
65,0.2558289579974371,0.26041308300045785,False
65,0.25650637499347795,0.26681454200297594,False
66,0.2634931249995134,0.2693538749954314,False
66,0.3194015000044601,0.3472979159996612,False
67,0.2618462910031667,0.2605941250003525,False
67,0.2563386659967364,0.26699250000092434,False
68,0.2613687499979278,0.25681812500261003,False
68,0.2556500840000808,0.2587893329982762,False
69,0.2592653749961755,0.25581641600001603,False
69,0.2535451660005492,0.2600847089997842,False
70,0.2527842499985127,0.2602553340038867,False
70,0.25475537499733036,0.2566169159981655,False
71,0.256195874993864,0.2564806249938556,False
71,0.25529595900297863,0.2555089160014177,False
72,0.256937125006516,0.2565429999958724,False
72,0.2705909169962979,0.2556932079969556,False
73,0.25541104200237896,0.2558255409967387,False
73,0.2626758339974913,0.25647824999759905,False
74,0.25983766699937405,0.2580792919980013,False
74,0.260009750003519,0.25682791699364316,False
75,0.25616454199916916,0.2573936250046245,False
75,0.2563088750030147,0.2551728750040638,False
76,0.25740275000134716,0.2702119999958086,False
76,0.2593317500068224,0.25599658300052397,False
77,0.31059745799575467,0.25563304199749837,False
77,0.25277404200460296,0.2566287919980823,False
78,0.25577729199721944,0.25689854100346565,False
78,0.31052462499792455,0.2708797920058714,False
79,0.2673971249969327,0.26528408299782313,False
79,0.2648221659983392,0.25869849999435246,False
80,0.2559236249944661,0.2583540410050773,False
80,0.25672941700031515,0.26370229099848075,False
81,0.28671570900041843,0.28573516700271284,False
81,0.2992709169993759,0.2739575000014156,False
82,0.3158138750004582,0.30788024999492336,False
82,0.2627898749997257,0.2750319170008879,False
83,0.261024916995666,0.284172291001596,False
83,0.27768645800097147,0.26131120799982455,False
84,0.2834188330016332,0.26254116599739064,False
84,0.26329462500143563,0.2658454170014011,False
85,0.26303137500508456,0.25651166600437136,False
